Year	ID_mesh	SPRCLASSE	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture
2015	81	Aquidauana	0.0144	0	0	0	0	0	0	0	0	9.6408	0	0	0	0
2016	81	Aquidauana	0	0.6219	0	0	0	0	0.6219	0	0	9.0189	0	0	0	0
2017	81	Aquidauana	0.6219	0	0	0	0	0	0	0	0	9.6408	0	0	0	0
2018	81	Aquidauana	0	0.2088	0	0	0	0	0.2088	0	0	9.432	0	0	0	0
2019	81	Aquidauana	0.2088	0	0	0	0	0	0	0	0	9.6408	0	0	0	0
2020	81	Aquidauana	0	3.2913	0	0	0	0	3.2913	0	0	6.3495	0	0	0	0
2021	81	Aquidauana	2.0799	0	0	0	0	0	1.2114	0	0	8.4294	0	0	0	0
2022	81	Aquidauana	1.2114	0	0	0	0	0	0	0	0	9.6408	0	0	0	0
2012	82	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.5985	0	0	0	0
2013	82	Aquidauana	0	0	0	0	0	0	0	0	0	9.5985	0	0	0	0
2014	82	Aquidauana	0	0.1764	0	0	0	0	0.1764	0	0	9.4221	0	0	0	0
2015	82	Aquidauana	0.1764	0	0	0	0	0	0	0	0	9.5985	0	0	0	0
2016	82	Aquidauana	0	0.1755	0	0	0	0	0.1755	0	0	9.423	0	0	0	0
2017	82	Aquidauana	0.1755	0	0	0	0	0	0	0	0	9.5985	0	0	0	0
2018	82	Aquidauana	0	0	0	0	0	0	0	0	0	9.5985	0	0	0	0
2019	82	Aquidauana	0	0.018	0	0	0	0	0.018	0	0	9.5805	0	0	0	0
2020	82	Aquidauana	0.018	0	0	0	0	0	0	0	0	9.5985	0	0	0	0
2021	82	Aquidauana	0	0	0	0	0	0	0	0	0	9.5985	0	0	0	0
2022	82	Aquidauana	0	0	0	0	0	0	0	0	0	9.5985	0	0	0	0
2012	83	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6732	0	0	0	0
2013	83	Aquidauana	0	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2014	83	Aquidauana	0	0.216	0	0	0	0	0.216	0	0	9.4572	0	0	0	0
2015	83	Aquidauana	0.216	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2016	83	Aquidauana	0	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2017	83	Aquidauana	0	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2018	83	Aquidauana	0	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2019	83	Aquidauana	0	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2020	83	Aquidauana	0	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2021	83	Aquidauana	0	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2022	83	Aquidauana	0	0	0	0	0	0	0	0	0	9.6732	0	0	0	0
2012	84	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6138	0	0	0	0
2013	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2014	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2015	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2016	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2017	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2018	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2019	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2020	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2021	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2022	84	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2012	85	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6282	0	0	0	0
2013	85	Aquidauana	0	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2014	85	Aquidauana	0	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2015	85	Aquidauana	0	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2016	85	Aquidauana	0	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2017	85	Aquidauana	0	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2018	85	Aquidauana	0	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2019	85	Aquidauana	0	0.0405	0	0	0	0	0.0405	0	0	9.5877	0	0	0	0
2020	85	Aquidauana	0.0405	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2021	85	Aquidauana	0	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2022	85	Aquidauana	0	0	0	0	0	0	0	0	0	9.6282	0	0	0	0
2012	86	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6462	0	0	0	0
2013	86	Aquidauana	0	0	0	0	0	0	0	0	0	9.6462	0	0	0	0
2014	86	Aquidauana	0	0	0	0	0	0	0	0	0	9.6462	0	0	0	0
2015	86	Aquidauana	0	0	0	0	0	0	0	0	0	9.6462	0	0	0	0
2016	86	Aquidauana	0	0.0216	0	0	0	0	0.0216	0	0	9.6246	0	0	0	0
2017	86	Aquidauana	0.0216	0	0	0	0	0	0	0	0	9.6462	0	0	0	0
2018	86	Aquidauana	0	0	0	0	0	0	0	0	0	9.6462	0	0	0	0
2019	86	Aquidauana	0	2.2293	0	0	0	0	2.2293	0	0	7.4169	0	0	0	0
2020	86	Aquidauana	2.2293	0	0	0	0	0	0	0	0	9.6462	0	0	0	0
2021	86	Aquidauana	0	0.018	0	0	0	0	0.018	0	0	9.6282	0	0	0	0
2022	86	Aquidauana	0.018	0	0	0	0	0	0	0	0	9.6462	0	0	0	0
2012	87	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6444	0	0	0	0
2013	87	Aquidauana	0	0	0	0	0	0	0	0	0	9.6444	0	0	0	0
2014	87	Aquidauana	0	0	0	0	0	0	0	0	0	9.6444	0	0	0	0
2015	87	Aquidauana	0	0	0	0	0	0	0	0	0	9.6444	0	0	0	0
2016	87	Aquidauana	0	0.0144	0	0	0	0	0.0144	0	0	9.63	0	0	0	0
2017	87	Aquidauana	0.0144	0	0	0	0	0	0	0	0	9.6444	0	0	0	0
2018	87	Aquidauana	0	0	0	0	0	0	0	0	0	9.6444	0	0	0	0
2019	87	Aquidauana	0	0.0774	0	0	0	0	0.0774	0	0	9.567	0	0	0	0
2020	87	Aquidauana	0.0774	0	0	0	0	0	0	0	0	9.6444	0	0	0	0
2021	87	Aquidauana	0	0	0	0	0	0	0	0	0	9.6444	0	0	0	0
2022	87	Aquidauana	0	0	0	0	0	0	0	0	0	9.6444	0	0	0	0
2012	88	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6309	0	0	0	0
2013	88	Aquidauana	0	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2014	88	Aquidauana	0	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2015	88	Aquidauana	0	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2016	88	Aquidauana	0	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2017	88	Aquidauana	0	0.1593	0	0	0	0	0.1593	0	0	9.4716	0	0	0	0
2018	88	Aquidauana	0.1593	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2019	88	Aquidauana	0	0.3213	0	0	0	0	0.3213	0	0	9.3096	0	0	0	0
2020	88	Aquidauana	0.3213	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2021	88	Aquidauana	0	0.081	0	0	0	0	0.081	0	0	9.5499	0	0	0	0
2022	88	Aquidauana	0.081	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2012	89	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.612	0	0	0	0
2013	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2014	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2015	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2016	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2017	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2018	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2019	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2020	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2021	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2022	89	Aquidauana	0	0	0	0	0	0	0	0	0	9.612	0	0	0	0
2012	90	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	8.7678	0	0	0	0
2013	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2014	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2015	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2016	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2017	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2018	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2019	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2020	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2021	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2022	90	Aquidauana	0	0	0	0	0	0	0	0	0	8.7678	0	0	0	0
2012	91	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	2.8467	0	0	0	0
2013	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2014	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2015	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2016	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2017	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2018	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2019	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2020	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2021	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2022	91	Aquidauana	0	0	0	0	0	0	0	0	0	2.8467	0	0	0	0
2012	92	Aquidauana	NA	NA	NA	NA	NA	NA	0.1224	0	0	5.4378	0	0	0	0
2013	92	Aquidauana	0.0981	0	0	0	0	0	0.0243	0	0	5.5359	0	0	0	0
2014	92	Aquidauana	0	0.1557	0	0	0	0	0.18	0	0	5.3802	0	0	0	0
2015	92	Aquidauana	0.1143	0	0	0	0	0	0.0657	0	0	5.4945	0	0	0	0
2016	92	Aquidauana	0.0657	0	0	0	0	0	0	0	0	5.5602	0	0	0	0
2017	92	Aquidauana	0	0.0576	0	0	0	0	0.0576	0	0	5.5026	0	0	0	0
2018	92	Aquidauana	0.0576	0	0	0	0	0	0	0	0	5.5602	0	0	0	0
2019	92	Aquidauana	0	0	0	0	0	0	0	0	0	5.5602	0	0	0	0
2020	92	Aquidauana	0	0	0	0	0	0	0	0	0	5.5602	0	0	0	0
2021	92	Aquidauana	0	0	0	0	0	0	0	0	0	5.5602	0	0	0	0
2022	92	Aquidauana	0	0	0	0	0	0	0	0	0	5.5602	0	0	0	0
2012	93	Aquidauana	NA	NA	NA	NA	NA	NA	0.0558	0	0	9.5751	0	0	0	0
2013	93	Aquidauana	0	0.0576	0	0	0	0	0.1134	0	0	9.5175	0	0	0	0
2014	93	Aquidauana	0.0324	0	0	0	0	0	0.081	0	0	9.5499	0	0	0	0
2015	93	Aquidauana	0.081	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2016	93	Aquidauana	0	1.4679	0	0	0	0	1.4679	0	0	8.163	0	0	0	0
2017	93	Aquidauana	1.3716	0	0	0	0	0	0.0963	0	0	9.5346	0	0	0	0
2018	93	Aquidauana	0.0324	0	0	0	0	0	0.0639	0	0	9.567	0	0	0	0
2019	93	Aquidauana	0.0639	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2020	93	Aquidauana	0	0.0144	0	0	0	0	0.0144	0	0	9.6165	0	0	0	0
2021	93	Aquidauana	0	0.0405	0	0	0	0	0.0549	0	0	9.576	0	0	0	0
2022	93	Aquidauana	0.0549	0	0	0	0	0	0	0	0	9.6309	0	0	0	0
2012	94	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6111	0	0	0	0
2013	94	Aquidauana	0	0.2052	0	0	0	0	0.2052	0	0	9.4059	0	0	0	0
2014	94	Aquidauana	0.2052	0	0	0	0	0	0	0	0	9.6111	0	0	0	0
2015	94	Aquidauana	0	0.0423	0	0	0	0	0.0423	0	0	9.5688	0	0	0	0
2016	94	Aquidauana	0	1.7172	0	0	0	0	1.7595	0	0	7.8516	0	0	0	0
2017	94	Aquidauana	1.7595	0	0	0	0	0	0	0	0	9.6111	0	0	0	0
2018	94	Aquidauana	0	0.0036	0	0	0	0	0.0036	0	0	9.6075	0	0	0	0
2019	94	Aquidauana	0.0036	0	0	0	0	0	0	0	0	9.6111	0	0	0	0
2020	94	Aquidauana	0	0.2817	0	0	0	0	0.2817	0	0	9.3294	0	0	0	0
2021	94	Aquidauana	0.2817	0	0	0	0	0	0	0	0	9.6111	0	0	0	0
2022	94	Aquidauana	0	0	0	0	0	0	0	0	0	9.6111	0	0	0	0
2012	95	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6669	0	0	0	0
2013	95	Aquidauana	0	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2014	95	Aquidauana	0	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2015	95	Aquidauana	0	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2016	95	Aquidauana	0	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2017	95	Aquidauana	0	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2018	95	Aquidauana	0	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2019	95	Aquidauana	0	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2020	95	Aquidauana	0	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2021	95	Aquidauana	0	0.018	0	0	0	0	0.018	0	0	9.6489	0	0	0	0
2022	95	Aquidauana	0.018	0	0	0	0	0	0	0	0	9.6669	0	0	0	0
2012	96	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6192	0	0	0	0
2013	96	Aquidauana	0	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2014	96	Aquidauana	0	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2015	96	Aquidauana	0	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2016	96	Aquidauana	0	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2017	96	Aquidauana	0	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2018	96	Aquidauana	0	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2019	96	Aquidauana	0	0.4626	0	0	0	0	0.4626	0	0	9.1566	0	0	0	0
2020	96	Aquidauana	0.4626	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2021	96	Aquidauana	0	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2022	96	Aquidauana	0	0	0	0	0	0	0	0	0	9.6192	0	0	0	0
2012	97	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6138	0	0	0	0
2013	97	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2014	97	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2015	97	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2016	97	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2017	97	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2018	97	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2019	97	Aquidauana	0	0.3582	0	0	0	0	0.3582	0	0	9.2556	0	0	0	0
2020	97	Aquidauana	0.3582	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2021	97	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2022	97	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2012	98	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6642	0	0	0	0
2013	98	Aquidauana	0	0	0	0	0	0	0	0	0	9.6642	0	0	0	0
2014	98	Aquidauana	0	0	0	0	0	0	0	0	0	9.6642	0	0	0	0
2015	98	Aquidauana	0	0	0	0	0	0	0	0	0	9.6642	0	0	0	0
2016	98	Aquidauana	0	0.1926	0	0	0	0	0.1926	0	0	9.4716	0	0	0	0
2017	98	Aquidauana	0.1926	0	0	0	0	0	0	0	0	9.6642	0	0	0	0
2018	98	Aquidauana	0	0	0	0	0	0	0	0	0	9.6642	0	0	0	0
2019	98	Aquidauana	0	1.5111	0	0	0	0	1.5111	0	0	8.1531	0	0	0	0
2020	98	Aquidauana	1.5111	0	0	0	0	0	0	0	0	9.6642	0	0	0	0
2021	98	Aquidauana	0	0	0	0	0	0	0	0	0	9.6642	0	0	0	0
2022	98	Aquidauana	0	0	0	0	0	0	0	0	0	9.6642	0	0	0	0
2012	99	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6138	0	0	0	0
2013	99	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2014	99	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2015	99	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2016	99	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2017	99	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2018	99	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2019	99	Aquidauana	0	2.9187	0	0	0	0	2.9187	0	0	6.6951	0	0	0	0
2020	99	Aquidauana	2.9187	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2021	99	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2022	99	Aquidauana	0	0	0	0	0	0	0	0	0	9.6138	0	0	0	0
2012	100	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6291	0	0	0	0
2013	100	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2014	100	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2015	100	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2016	100	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2017	100	Aquidauana	0	0.054	0	0	0	0	0.054	0	0	9.5751	0	0	0	0
2018	100	Aquidauana	0.054	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2019	100	Aquidauana	0	0.0144	0	0	0	0	0.0144	0	0	9.6147	0	0	0	0
2020	100	Aquidauana	0.0144	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2021	100	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2022	100	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2012	101	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6291	0	0	0	0
2013	101	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2014	101	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2015	101	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2016	101	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2017	101	Aquidauana	0	0.1017	0	0	0	0	0.1017	0	0	9.5274	0	0	0	0
2018	101	Aquidauana	0	0.0018	0	0	0	0	0.1035	0	0	9.5256	0	0	0	0
2019	101	Aquidauana	0.0801	0	0	0	0	0	0.0234	0	0	9.6057	0	0	0	0
2020	101	Aquidauana	0.0234	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2021	101	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2022	101	Aquidauana	0	0	0	0	0	0	0	0	0	9.6291	0	0	0	0
2012	102	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6426	0	0	0	0
2013	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2014	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2015	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2016	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2017	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2018	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2019	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2020	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2021	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2022	102	Aquidauana	0	0	0	0	0	0	0	0	0	9.6426	0	0	0	0
2012	103	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6453	0	0	0	0
2013	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2014	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2015	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2016	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2017	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2018	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2019	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2020	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2021	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2022	103	Aquidauana	0	0	0	0	0	0	0	0	0	9.6453	0	0	0	0
2012	104	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	8.8272	0	0	0	0
2013	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2014	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2015	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2016	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2017	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2018	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2019	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2020	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2021	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2022	104	Aquidauana	0	0	0	0	0	0	0	0	0	8.8272	0	0	0	0
2012	105	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	2.466	0	0	0	0
2013	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2014	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2015	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2016	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2017	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2018	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2019	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2020	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2021	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2022	105	Aquidauana	0	0	0	0	0	0	0	0	0	2.466	0	0	0	0
2012	106	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	0.9378	0	0	0	0
2013	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2014	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2015	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2016	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2017	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2018	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2019	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2020	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2021	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2022	106	Aquidauana	0	0	0	0	0	0	0	0	0	0.9378	0	0	0	0
2012	107	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	8.9343	0	0	0	0
2013	107	Aquidauana	0	0.3645	0	0	0	0	0.3645	0	0	8.5698	0	0	0	0
2014	107	Aquidauana	0	0.0774	0	0	0	0	0.4419	0	0	8.4924	0	0	0	0
2015	107	Aquidauana	0.4419	0	0	0	0	0	0	0	0	8.9343	0	0	0	0
2016	107	Aquidauana	0	0.1539	0	0	0	0	0.1539	0	0	8.7804	0	0	0	0
2017	107	Aquidauana	0.1539	0	0	0	0	0	0	0	0	8.9343	0	0	0	0
2018	107	Aquidauana	0	0.0756	0	0	0	0	0.0756	0	0	8.8587	0	0	0	0
2019	107	Aquidauana	0.0756	0	0	0	0	0	0	0	0	8.9343	0	0	0	0
2020	107	Aquidauana	0	0.0774	0	0	0	0	0.0774	0	0	8.8569	0	0	0	0
2021	107	Aquidauana	0.063	0	0	0	0	0	0.0144	0	0	8.9199	0	0	0	0
2022	107	Aquidauana	0	0.1215	0	0	0	0	0.1359	0	0	8.7984	0	0	0	0
2012	108	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6318	0	0	0	0
2013	108	Aquidauana	0	0.8586	0	0	0	0	0.8586	0	0	8.7732	0	0	0	0
2014	108	Aquidauana	0.792	0	0	0	0	0	0.0666	0	0	9.5652	0	0	0	0
2015	108	Aquidauana	0	0.0162	0	0	0	0	0.0828	0	0	9.549	0	0	0	0
2016	108	Aquidauana	0	0.4446	0	0	0	0	0.5274	0	0	9.1044	0	0	0	0
2017	108	Aquidauana	0.4482	0	0	0	0	0	0.0792	0	0	9.5526	0	0	0	0
2018	108	Aquidauana	0.0171	0	0	0	0	0	0.0621	0	0	9.5697	0	0	0	0
2019	108	Aquidauana	0.0621	0	0	0	0	0	0	0	0	9.6318	0	0	0	0
2020	108	Aquidauana	0	0.207	0	0	0	0	0.207	0	0	9.4248	0	0	0	0
2021	108	Aquidauana	0.1926	0	0	0	0	0	0.0144	0	0	9.6174	0	0	0	0
2022	108	Aquidauana	0	0.3366	0	0	0	0	0.351	0	0	9.2808	0	0	0	0
2012	109	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6399	0	0	0	0
2013	109	Aquidauana	0	0.018	0	0	0	0	0.018	0	0	9.6219	0	0	0	0
2014	109	Aquidauana	0	0.153	0	0	0	0	0.171	0	0	9.4689	0	0	0	0
2015	109	Aquidauana	0.1116	0	0	0	0	0	0.0594	0	0	9.5805	0	0	0	0
