Year	ID_mesh	SPRCLASSE	Deforestation	Reforestation	Growth_Urban	Growth_Mining	Growth_Pasture	Growth_Agriculture	Forest	NonForest	Water	Others	Urban	Mining	Pasture	Agriculture
2018	6	Aquidauana	0	0.0324	0	0	0	0	0.0324	0	0	6.147	0	0	0	0
2019	6	Aquidauana	0.0324	0	0	0	0	0	0	0	0	6.1794	0	0	0	0
2020	6	Aquidauana	0	0.1269	0	0	0	0	0.1269	0	0	6.0525	0	0	0	0
2021	6	Aquidauana	0.0864	0	0	0	0	0	0.0405	0	0	6.1389	0	0	0	0
2022	6	Aquidauana	0.0108	0	0	0	0	0	0.0297	0	0	6.1497	0	0	0	0
2012	7	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	1.1115	0	0	0	0
2013	7	Aquidauana	0	0.0477	0	0	0	0	0.0477	0	0	1.0638	0	0	0	0
2014	7	Aquidauana	0.0477	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2015	7	Aquidauana	0	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2016	7	Aquidauana	0	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2017	7	Aquidauana	0	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2018	7	Aquidauana	0	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2019	7	Aquidauana	0	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2020	7	Aquidauana	0	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2021	7	Aquidauana	0	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2022	7	Aquidauana	0	0	0	0	0	0	0	0	0	1.1115	0	0	0	0
2012	8	Aquidauana	NA	NA	NA	NA	NA	NA	0.1386	0	0	4.6854	0	0	0	0
2013	8	Aquidauana	0.1386	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2014	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2015	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2016	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2017	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2018	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2019	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2020	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2021	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2022	8	Aquidauana	0	0	0	0	0	0	0	0	0	4.824	0	0	0	0
2012	9	Aquidauana	NA	NA	NA	NA	NA	NA	0.7488	0	0	8.8992	0	0	0	0
2013	9	Aquidauana	0.7488	0	0	0	0	0	0	0	0	9.648	0	0	0	0
2014	9	Aquidauana	0	0.1431	0	0	0	0	0.1431	0	0	9.5049	0	0	0	0
2015	9	Aquidauana	0.1431	0	0	0	0	0	0	0	0	9.648	0	0	0	0
2016	9	Aquidauana	0	0	0	0	0	0	0	0	0	9.648	0	0	0	0
2017	9	Aquidauana	0	0	0	0	0	0	0	0	0	9.648	0	0	0	0
2018	9	Aquidauana	0	0.0144	0	0	0	0	0.0144	0	0	9.6336	0	0	0	0
2019	9	Aquidauana	0.0144	0	0	0	0	0	0	0	0	9.648	0	0	0	0
2020	9	Aquidauana	0	0.3699	0	0	0	0	0.3699	0	0	9.2781	0	0	0	0
2021	9	Aquidauana	0.3699	0	0	0	0	0	0	0	0	9.648	0	0	0	0
2022	9	Aquidauana	0	0	0	0	0	0	0	0	0	9.648	0	0	0	0
2012	10	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	2.5605	0	0	0	0
2013	10	Aquidauana	0	9e-04	0	0	0	0	9e-04	0	0	2.5596	0	0	0	0
2014	10	Aquidauana	9e-04	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2015	10	Aquidauana	0	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2016	10	Aquidauana	0	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2017	10	Aquidauana	0	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2018	10	Aquidauana	0	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2019	10	Aquidauana	0	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2020	10	Aquidauana	0	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2021	10	Aquidauana	0	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2022	10	Aquidauana	0	0	0	0	0	0	0	0	0	2.5605	0	0	0	0
2012	11	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	5.6448	0	0	0	0
2013	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2014	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2015	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2016	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2017	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2018	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2019	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2020	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2021	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2022	11	Aquidauana	0	0	0	0	0	0	0	0	0	5.6448	0	0	0	0
2012	12	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6354	0	0	0	0
2013	12	Aquidauana	0	0	0	0	0	0	0	0	0	9.6354	0	0	0	0
2014	12	Aquidauana	0	0	0	0	0	0	0	0	0	9.6354	0	0	0	0
2015	12	Aquidauana	0	0	0	0	0	0	0	0	0	9.6354	0	0	0	0
2016	12	Aquidauana	0	0.0216	0	0	0	0	0.0216	0	0	9.6138	0	0	0	0
2017	12	Aquidauana	0.0216	0	0	0	0	0	0	0	0	9.6354	0	0	0	0
2018	12	Aquidauana	0	0	0	0	0	0	0	0	0	9.6354	0	0	0	0
2019	12	Aquidauana	0	0.0864	0	0	0	0	0.0864	0	0	9.549	0	0	0	0
2020	12	Aquidauana	0.0864	0	0	0	0	0	0	0	0	9.6354	0	0	0	0
2021	12	Aquidauana	0	0	0	0	0	0	0	0	0	9.6354	0	0	0	0
2022	12	Aquidauana	0	0	0	0	0	0	0	0	0	9.6354	0	0	0	0
2012	13	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	4.1004	0	0	0	0
2013	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2014	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2015	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2016	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2017	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2018	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2019	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2020	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2021	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2022	13	Aquidauana	0	0	0	0	0	0	0	0	0	4.1004	0	0	0	0
2012	14	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	5.4153	0	0	0	0
2013	14	Aquidauana	0	0.0216	0	0	0	0	0.0216	0	0	5.3937	0	0	0	0
2014	14	Aquidauana	0.0216	0	0	0	0	0	0	0	0	5.4153	0	0	0	0
2015	14	Aquidauana	0	0	0	0	0	0	0	0	0	5.4153	0	0	0	0
2016	14	Aquidauana	0	0	0	0	0	0	0	0	0	5.4153	0	0	0	0
2017	14	Aquidauana	0	0	0	0	0	0	0	0	0	5.4153	0	0	0	0
2018	14	Aquidauana	0	0.2664	0	0	0	0	0.2664	0	0	5.1489	0	0	0	0
2019	14	Aquidauana	0.2664	0	0	0	0	0	0	0	0	5.4153	0	0	0	0
2020	14	Aquidauana	0	0	0	0	0	0	0	0	0	5.4153	0	0	0	0
2021	14	Aquidauana	0	0	0	0	0	0	0	0	0	5.4153	0	0	0	0
2022	14	Aquidauana	0	0	0	0	0	0	0	0	0	5.4153	0	0	0	0
2012	15	Aquidauana	NA	NA	NA	NA	NA	NA	0	0	0	9.6489	0	0	0	0
2013	15	Aquidauana	0	0	0	0	0	0	0	0	0	9.6489	0	0	0	0
